date,Hour,ad_mwh
8/12/2015,13,1198
8/12/2015,14,1209
8/12/2015,15,1200
8/12/2015,16,1205
8/12/2015,17,1215
8/12/2015,18,1195
8/12/2015,19,1162
8/12/2015,20,1131
8/12/2015,21,1134
8/12/2015,22,1126
8/12/2015,23,1038
8/12/2015,24,950
8/13/2015,1,873
8/13/2015,2,832
8/13/2015,3,799
8/13/2015,4,784
8/13/2015,5,800
8/13/2015,6,858
8/13/2015,7,967
8/13/2015,8,1050
8/13/2015,9,1102
8/13/2015,10,1149
8/13/2015,11,1189
8/13/2015,12,1210
8/13/2015,13,1211
8/13/2015,14,1243
8/13/2015,15,1234
8/13/2015,16,1244
8/13/2015,17,1255
8/13/2015,18,1246
8/13/2015,19,1198
8/13/2015,20,1143
8/13/2015,21,1143
8/13/2015,22,1127
8/13/2015,23,1041
8/13/2015,24,951
8/14/2015,1,873
8/14/2015,2,825
8/14/2015,3,795
8/14/2015,4,790
8/14/2015,5,822
8/14/2015,6,899
8/14/2015,7,990
8/14/2015,8,1124
8/14/2015,9,1152
8/14/2015,10,1179
8/14/2015,11,1210
8/14/2015,12,1197
8/14/2015,13,1194
8/14/2015,14,1200
8/14/2015,15,1183
8/14/2015,16,1160
8/14/2015,17,1155
8/14/2015,18,1144
8/14/2015,19,1110
8/14/2015,20,1051
8/14/2015,21,1062
8/14/2015,22,1037
8/14/2015,23,983
8/14/2015,24,916
8/15/2015,1,858
8/15/2015,2,820
8/15/2015,3,796
8/15/2015,4,780
8/15/2015,5,789
8/15/2015,6,806
8/15/2015,7,825
8/15/2015,8,878
8/15/2015,9,956
8/15/2015,10,1014
8/15/2015,11,1040
8/15/2015,12,1050
8/15/2015,13,1044
8/15/2015,14,1031
8/15/2015,15,1024
8/15/2015,16,1005
8/15/2015,17,999
8/15/2015,18,1002
8/15/2015,19,989
8/15/2015,20,979
8/15/2015,21,993
8/15/2015,22,993
8/15/2015,23,958
8/15/2015,24,897
8/16/2015,1,838
8/16/2015,2,802
8/16/2015,3,783
8/16/2015,4,768
8/16/2015,5,731
8/16/2015,6,770
8/16/2015,7,783
8/16/2015,8,804
8/16/2015,9,901
8/16/2015,10,968
8/16/2015,11,1006
8/16/2015,12,1023
8/16/2015,13,1040
8/16/2015,14,1042
8/16/2015,15,1045
8/16/2015,16,1030
8/16/2015,17,1049
8/16/2015,18,1064
8/16/2015,19,1061
8/16/2015,20,1053
8/16/2015,21,1061
8/16/2015,22,1053
8/16/2015,23,990
8/16/2015,24,909
8/17/2015,1,840
8/17/2015,2,807
8/17/2015,3,792
8/17/2015,4,789
8/17/2015,5,804
8/17/2015,6,857
8/17/2015,7,965
