date,hour,mwh
7/25/2015,12H,198
7/25/2015,13H,248
7/25/2015,14H,237
7/25/2015,15H,286
7/25/2015,16H,401
7/25/2015,17H,437
7/25/2015,18H,417
7/25/2015,19H,443
7/25/2015,20H,534
7/25/2015,21H,561
7/25/2015,22H,524
7/25/2015,23H,485
7/26/2015,00H,440
7/26/2015,01H,463
7/26/2015,02H,441
7/26/2015,03H,372
7/26/2015,04H,361
7/26/2015,05H,366
7/26/2015,06H,373
7/26/2015,07H,377
7/26/2015,08H,242
7/26/2015,09H,253
7/26/2015,10H,258
7/26/2015,11H,241
7/26/2015,12H,217
7/26/2015,13H,238
7/26/2015,14H,235
7/26/2015,15H,253
7/26/2015,16H,333
7/26/2015,17H,408
7/26/2015,18H,524
7/26/2015,19H,548
7/26/2015,20H,580
7/26/2015,21H,545
7/26/2015,22H,506
7/26/2015,23H,505
7/27/2015,00H,499
7/27/2015,01H,551
7/27/2015,02H,538
7/27/2015,03H,507
7/27/2015,04H,445
7/27/2015,05H,438
7/27/2015,06H,312
7/27/2015,07H,246
7/27/2015,08H,267
7/27/2015,09H,291
7/27/2015,10H,257
7/27/2015,11H,266
7/27/2015,12H,236
7/27/2015,13H,266
7/27/2015,14H,223
7/27/2015,15H,307
7/27/2015,16H,495
7/27/2015,17H,545
7/27/2015,18H,606
7/27/2015,19H,562
7/27/2015,20H,546
7/27/2015,21H,563
7/27/2015,22H,567
7/27/2015,23H,506
7/28/2015,00H,523
7/28/2015,01H,472
7/28/2015,02H,507
7/28/2015,03H,532
7/28/2015,04H,517
7/28/2015,05H,518
7/28/2015,06H,452
7/28/2015,07H,359
7/28/2015,08H,226
7/28/2015,09H,226
7/28/2015,10H,238
7/28/2015,11H,231
7/28/2015,12H,250
7/28/2015,13H,251
7/28/2015,14H,223
7/28/2015,15H,449
7/28/2015,16H,483
7/28/2015,17H,528
7/28/2015,18H,456
7/28/2015,19H,507
7/28/2015,20H,494
7/28/2015,21H,529
7/28/2015,22H,557
7/28/2015,23H,607
7/29/2015,00H,700
7/29/2015,01H,744
7/29/2015,02H,653
7/29/2015,03H,428
7/29/2015,04H,488
7/29/2015,05H,417
7/29/2015,06H,425
7/29/2015,07H,253
7/29/2015,08H,260
7/29/2015,09H,234
7/29/2015,10H,219
7/29/2015,11H,241
7/29/2015,12H,226
7/29/2015,13H,219
7/29/2015,14H,252
7/29/2015,15H,337
7/29/2015,16H,415
7/29/2015,17H,467
7/29/2015,18H,575
7/29/2015,19H,620
7/29/2015,20H,512
7/29/2015,21H,580
7/29/2015,22H,599
7/29/2015,23H,736
7/30/2015,00H,696
7/30/2015,01H,759
7/30/2015,02H,580
7/30/2015,03H,522
7/30/2015,04H,578
7/30/2015,05H,525
7/30/2015,06H,523
7/30/2015,07H,445
7/30/2015,08H,272
7/30/2015,09H,234
7/30/2015,10H,244
7/30/2015,11H,227
7/30/2015,12H,227
7/30/2015,13H,225
7/30/2015,14H,242
7/30/2015,15H,256
7/30/2015,16H,331
7/30/2015,17H,344
7/30/2015,18H,452
7/30/2015,19H,473
7/30/2015,20H,384
7/30/2015,21H,463
7/30/2015,22H,594
7/30/2015,23H,620
7/31/2015,00H,703
7/31/2015,01H,683
7/31/2015,02H,607
7/31/2015,03H,565
7/31/2015,04H,612
7/31/2015,05H,474
7/31/2015,06H,639
7/31/2015,07H,466
7/31/2015,08H,289
7/31/2015,09H,272
7/31/2015,10H,250
7/31/2015,11H,225
7/31/2015,12H,230
7/31/2015,13H,229
7/31/2015,14H,248
7/31/2015,15H,213
7/31/2015,16H,300
7/31/2015,17H,340
7/31/2015,18H,322
7/31/2015,19H,431
7/31/2015,20H,343
7/31/2015,21H,430
7/31/2015,22H,566
7/31/2015,23H,620
8/1/2015,00H,663
8/1/2015,01H,682
8/1/2015,02H,460
8/1/2015,03H,407
8/1/2015,04H,417
8/1/2015,05H,370
8/1/2015,06H,340
8/1/2015,07H,306
8/1/2015,08H,215
8/1/2015,09H,232
8/1/2015,10H,208
8/1/2015,11H,211
8/1/2015,12H,220
8/1/2015,13H,227
8/1/2015,14H,221
8/1/2015,15H,164
8/1/2015,16H,246
8/1/2015,17H,273
8/1/2015,18H,341
8/1/2015,19H,352
8/1/2015,20H,418
8/1/2015,21H,475
8/1/2015,22H,532
8/1/2015,23H,545
8/2/2015,00H,493
8/2/2015,01H,541
8/2/2015,02H,488
8/2/2015,03H,416
8/2/2015,04H,428
8/2/2015,05H,302
8/2/2015,06H,222
8/2/2015,07H,267
8/2/2015,08H,258
8/2/2015,09H,234
8/2/2015,10H,237
8/2/2015,11H,214
8/2/2015,12H,228
8/2/2015,13H,221
8/2/2015,14H,177
8/2/2015,15H,169
8/2/2015,16H,194
8/2/2015,17H,237
8/2/2015,18H,292
8/2/2015,19H,296
8/2/2015,20H,332
8/2/2015,21H,313
8/2/2015,22H,336
8/2/2015,23H,364
8/3/2015,00H,388
8/3/2015,01H,465
8/3/2015,02H,424
8/3/2015,03H,286
8/3/2015,04H,320
8/3/2015,05H,307
8/3/2015,06H,332
8/3/2015,07H,200
8/3/2015,08H,228
8/3/2015,09H,212
8/3/2015,10H,209
8/3/2015,11H,232
8/3/2015,12H,270
8/3/2015,13H,228
8/3/2015,14H,195
8/3/2015,15H,196
8/3/2015,16H,283
8/3/2015,17H,373
8/3/2015,18H,362
8/3/2015,19H,480
8/3/2015,20H,419
8/3/2015,21H,427
8/3/2015,22H,499
8/3/2015,23H,509
8/4/2015,00H,493
8/4/2015,01H,553
8/4/2015,02H,488
8/4/2015,03H,469
8/4/2015,04H,404
8/4/2015,05H,316
8/4/2015,06H,323
8/4/2015,07H,338
8/4/2015,08H,261
8/4/2015,09H,236
8/4/2015,10H,226
8/4/2015,11H,174
8/4/2015,12H,191
8/4/2015,13H,203
8/4/2015,14H,188
8/4/2015,15H,249
8/4/2015,16H,304
8/4/2015,17H,331
8/4/2015,18H,328
8/4/2015,19H,348
8/4/2015,20H,390
8/4/2015,21H,413
8/4/2015,22H,417
8/4/2015,23H,522
8/5/2015,00H,498
8/5/2015,01H,486
8/5/2015,02H,446
8/5/2015,03H,393
8/5/2015,04H,327
8/5/2015,05H,270
8/5/2015,06H,281
8/5/2015,07H,224
8/5/2015,08H,188
8/5/2015,09H,172
8/5/2015,10H,190
8/5/2015,11H,172
8/5/2015,12H,192
8/5/2015,13H,227
8/5/2015,14H,192
8/5/2015,15H,222
8/5/2015,16H,335
8/5/2015,17H,321
8/5/2015,18H,421
8/5/2015,19H,498
8/5/2015,20H,634
8/5/2015,21H,547
8/5/2015,22H,579
8/5/2015,23H,594
8/6/2015,00H,391
8/6/2015,01H,411
8/6/2015,02H,339
8/6/2015,03H,312
8/6/2015,04H,283
8/6/2015,05H,326
8/6/2015,06H,282
8/6/2015,07H,233
8/6/2015,08H,197
8/6/2015,09H,215
8/6/2015,10H,196
8/6/2015,11H,181
8/6/2015,12H,179
8/6/2015,13H,187
8/6/2015,14H,227
8/6/2015,15H,305
8/6/2015,16H,359
8/6/2015,17H,356
8/6/2015,18H,475
8/6/2015,19H,484
8/6/2015,20H,492
8/6/2015,21H,533
8/6/2015,22H,547
8/6/2015,23H,528
8/7/2015,00H,584
8/7/2015,01H,572
8/7/2015,02H,514
8/7/2015,03H,456
8/7/2015,04H,420
8/7/2015,05H,404
8/7/2015,06H,302
8/7/2015,07H,207
8/7/2015,08H,194
8/7/2015,09H,181
8/7/2015,10H,180
8/7/2015,11H,187
8/7/2015,12H,192
8/7/2015,13H,228
8/7/2015,14H,193
8/7/2015,15H,192
8/7/2015,16H,323
8/7/2015,17H,405
8/7/2015,18H,426
8/7/2015,19H,421
8/7/2015,20H,432
8/7/2015,21H,537
8/7/2015,22H,539
8/7/2015,23H,575
8/8/2015,00H,504
8/8/2015,01H,504
8/8/2015,02H,458
8/8/2015,03H,338
8/8/2015,04H,369
8/8/2015,05H,284
8/8/2015,06H,386
8/8/2015,07H,305
8/8/2015,08H,296
8/8/2015,09H,245
8/8/2015,10H,225
8/8/2015,11H,208
8/8/2015,12H,225
8/8/2015,13H,238
8/8/2015,14H,212
8/8/2015,15H,201
8/8/2015,16H,214
8/8/2015,17H,275
8/8/2015,18H,287
8/8/2015,19H,314
8/8/2015,20H,388
8/8/2015,21H,419
8/8/2015,22H,367
8/8/2015,23H,387
8/9/2015,00H,449
8/9/2015,01H,411
8/9/2015,02H,408
8/9/2015,03H,356
8/9/2015,04H,303
8/9/2015,05H,323
8/9/2015,06H,303
8/9/2015,07H,213
8/9/2015,08H,201
8/9/2015,09H,243
8/9/2015,10H,204
8/9/2015,11H,182
8/9/2015,12H,215
8/9/2015,13H,196
8/9/2015,14H,223
8/9/2015,15H,210
8/9/2015,16H,306
8/9/2015,17H,344
8/9/2015,18H,313
8/9/2015,19H,304
8/9/2015,20H,287
8/9/2015,21H,312
8/9/2015,22H,393
8/9/2015,23H,377
8/10/2015,00H,514
8/10/2015,01H,574
8/10/2015,02H,606
8/10/2015,03H,451
8/10/2015,04H,461
8/10/2015,05H,380
8/10/2015,06H,206
8/10/2015,07H,171
8/10/2015,08H,206
8/10/2015,09H,213
8/10/2015,10H,198
8/10/2015,11H,213
8/10/2015,12H,225
8/10/2015,13H,188
8/10/2015,14H,199
8/10/2015,15H,205
8/10/2015,16H,354
8/10/2015,17H,294
8/10/2015,18H,384
8/10/2015,19H,435
8/10/2015,20H,416
8/10/2015,21H,492
8/10/2015,22H,545
8/10/2015,23H,536
8/11/2015,00H,585
8/11/2015,01H,487
8/11/2015,02H,457
8/11/2015,03H,434
8/11/2015,04H,485
8/11/2015,05H,447
8/11/2015,06H,320
8/11/2015,07H,219
8/11/2015,08H,237
8/11/2015,09H,221
8/11/2015,10H,192
8/11/2015,11H,218
